Time,Etot,Epot,Ekin,Elj12,Elj6,Temp
0.000000, -33995.757812, -34990.992188, 995.234985, 26049.818359, -61041.125000, 19.960590
0.010000, -33965.777344, -34984.828125, 1019.050415, 26064.423828, -61049.562500, 20.438234
0.020000, -33935.828125, -34967.953125, 1032.126831, 26103.830078, -61072.093750, 20.700499
0.030000, -33906.007812, -34940.398438, 1034.390381, 26168.160156, -61108.871094, 20.745895
0.040000, -33875.769531, -34901.792969, 1026.024292, 26257.000000, -61159.105469, 20.578106
0.050000, -33845.949219, -34853.441406, 1007.492249, 26369.019531, -61222.773438, 20.206425
0.060000, -33816.058594, -34795.621094, 979.563660, 26502.408203, -61298.339844, 19.646282
0.070000, -33786.082031, -34729.390625, 943.306702, 26654.902344, -61384.601562, 18.919107
0.080000, -33756.214844, -34656.332031, 900.115601, 26823.421875, -61480.066406, 18.052860
0.090000, -33726.265625, -34577.953125, 851.685852, 27004.449219, -61582.707031, 17.081545
0.100000, -33696.464844, -34496.472656, 800.006897, 27193.947266, -61690.718750, 16.045065
0.110000, -33666.390625, -34413.691406, 747.302673, 27387.662109, -61801.656250, 14.988019
0.120000, -33636.464844, -34332.429688, 695.966431, 27580.841797, -61913.570312, 13.958412
0.130000, -33606.500000, -34254.953125, 648.454651, 27769.113281, -62024.363281, 13.005508
0.140000, -33576.574219, -34183.738281, 607.165710, 27947.890625, -62131.925781, 12.177411
0.150000, -33546.500000, -34120.804688, 574.303406, 28113.412109, -62234.511719, 11.518319
0.160000, -33516.605469, -34068.335938, 551.731628, 28262.369141, -62330.996094, 11.065617
0.170000, -33486.562500, -34027.394531, 540.832275, 28392.394531, -62420.078125, 10.847017
0.180000, -33456.644531, -33999.031250, 542.385681, 28502.244141, -62501.562500, 10.878173
0.190000, -33426.707031, -33983.199219, 556.492981, 28591.703125, -62575.199219, 11.161111
0.200000, -33396.863281, -33979.398438, 582.535278, 28662.027344, -62641.722656, 11.683418
0.210000, -33366.800781, -33986.023438, 619.223389, 28715.382812, -62701.703125, 12.419242
0.220000, -33336.886719, -34001.582031, 664.694580, 28755.171875, -62757.046875, 13.331220
0.230000, -33306.949219, -34023.636719, 716.687927, 28785.386719, -62809.316406, 14.374005
0.240000, -33276.984375, -34049.714844, 772.730164, 28810.423828, -62860.429688, 15.497998
0.250000, -33246.984375, -34077.316406, 830.332581, 28834.873047, -62912.480469, 16.653282
0.260000, -33217.070312, -34104.234375, 887.164124, 28862.908203, -62967.433594, 17.793104
0.270000, -33187.218750, -34128.410156, 941.192322, 28898.382812, -63027.082031, 18.876701
0.280000, -33157.285156, -34148.070312, 990.783813, 28944.392578, -63092.753906, 19.871315
0.290000, -33127.371094, -34162.148438, 1034.777832, 29003.021484, -63165.460938, 20.753668
0.300000, -33097.292969, -34169.792969, 1072.501709, 29075.781250, -63245.859375, 21.510262
0.310000, -33067.390625, -34171.167969, 1103.778809, 29162.931641, -63334.386719, 22.137562
0.320000, -33037.539062, -34166.449219, 1128.911743, 29263.955078, -63430.687500, 22.641632
0.330000, -33007.496094, -34156.109375, 1148.612061, 29377.748047, -63534.132812, 23.036743
0.340000, -32977.648438, -34141.589844, 1163.942505, 29502.111328, -63643.972656, 23.344213
0.350000, -32947.804688, -34124.035156, 1176.229492, 29634.722656, -63759.027344, 23.590643
0.360000, -32917.617188, -34104.578125, 1186.962158, 29772.832031, -63877.671875, 23.805901
0.370000, -32887.753906, -34085.417969, 1197.665771, 29913.341797, -63999.019531, 24.020573
0.380000, -32857.792969, -34067.593750, 1209.800293, 30053.410156, -64121.265625, 24.263945
0.390000, -32827.792969, -34052.453125, 1224.660034, 30190.519531, -64243.234375, 24.561975
0.400000, -32798.031250, -34041.308594, 1243.276245, 30322.388672, -64363.957031, 24.935343
0.410000, -32768.003906, -34034.363281, 1266.358765, 30447.724609, -64482.347656, 25.398291
