Time,     Etot,         Epot,         Ekin,       Elj12,        Elj6,        Temp
0.000000, -6688.074219, -6902.026367, 213.952179, 5237.477539, -12139.503906, 19.866011
0.050000, -6634.174316, -6873.251953, 239.077499, 5309.510742, -12182.762695, 22.198963
0.100000, -6580.249023, -6793.266602, 213.017380, 5508.239258, -12301.505859, 19.779213
0.150000, -6526.325684, -6699.771973, 173.446350, 5751.909668, -12451.681641, 16.104940
0.200000, -6472.397949, -6654.683594, 182.285461, 5923.518555, -12578.202148, 16.925674
0.250000, -6418.470703, -6668.161621, 249.690735, 6004.429199, -12672.590820, 23.184427
0.300000, -6364.577148, -6681.048340, 316.470978, 6100.291504, -12781.339844, 29.385147
0.350000, -6310.690430, -6657.183594, 346.493378, 6278.734375, -12935.917969, 32.172806
0.400000, -6256.795410, -6623.874023, 367.078674, 6490.601562, -13114.475586, 34.084202
0.450000, -6202.903809, -6618.291504, 415.387695, 6662.811035, -13281.102539, 38.569817
0.500000, -6149.035645, -6628.246094, 479.210541, 6807.404297, -13435.650391, 44.495937
0.550000, -6095.143066, -6616.335938, 521.192688, 6985.780273, -13602.116211, 48.394085
0.600000, -6041.269531, -6579.860352, 538.591003, 7202.469727, -13782.330078, 50.009563
0.650000, -5987.396484, -6550.920898, 563.524475, 7399.074219, -13949.995117, 52.324699
0.700000, -5933.517090, -6542.460449, 608.943420, 7546.647949, -14089.108398, 56.541965
0.750000, -5879.653320, -6532.374512, 652.721008, 7678.540527, -14210.915039, 60.606827
0.800000, -5825.779785, -6495.585938, 669.806274, 7835.635742, -14331.221680, 62.193245
0.850000, -5771.909180, -6435.476562, 663.567627, 8007.660156, -14443.136719, 61.613968
0.900000, -5718.034180, -6396.391602, 678.357361, 8122.655273, -14519.046875, 62.987225
0.950000, -5664.171387, -6369.119141, 704.947571, 8195.566406, -14564.685547, 65.456200
1.000000, -5610.286621, -6313.384766, 703.098022, 8283.610352, -14596.995117, 65.284462
1.050000, -5556.427734, -6294.855469, 738.427551, 8289.496094, -14584.351562, 68.564903
1.100000, -5502.557617, -6301.237305, 798.679749, 8235.617188, -14536.854492, 74.159477
1.150000, -5448.699219, -6259.625000, 810.925537, 8234.191406, -14493.816406, 75.296524
1.200000, -5394.821777, -6213.905273, 819.083679, 8221.317383, -14435.222656, 76.054031
1.250000, -5340.948242, -6207.501953, 866.553711, 8128.848633, -14336.350586, 80.461746
1.300000, -5287.083008, -6201.164551, 914.081543, 8009.584473, -14210.749023, 84.874832
1.350000, -5233.230957, -6187.088867, 953.857910, 7878.572266, -14065.661133, 88.568169
1.400000, -5179.363281, -6154.293457, 974.930420, 7748.516113, -13902.809570, 90.524811
1.450000, -5125.502441, -6131.152832, 1005.650330, 7578.780762, -13709.933594, 93.377228
1.500000, -5071.625000, -6113.310059, 1041.684814, 7370.196777, -13483.506836, 96.723122
1.550000, -5017.772949, -6101.588379, 1083.815552, 7118.069824, -13219.658203, 100.635071
1.600000, -4963.907715, -6079.604980, 1115.697388, 6846.630371, -12926.235352, 103.595375
1.650000, -4910.046387, -6059.009277, 1148.962891, 6546.322754, -12605.332031, 106.684166
1.700000, -4856.183594, -6048.481445, 1192.297852, 6214.798828, -12263.280273, 110.707932
1.750000, -4802.321777, -6011.587402, 1209.265503, 5916.627441, -11928.214844, 112.283424
1.800000, -4748.458984, -5947.619629, 1199.160889, 5662.624512, -11610.244141, 111.345177
1.850000, -4694.600586, -5883.464844, 1188.864502, 5417.661133, -11301.125977, 110.389130
1.900000, -4640.736328, -5811.701660, 1170.965454, 5187.461426, -10999.163086, 108.727165
1.950000, -4586.879883, -5750.515625, 1163.635620, 4946.691406, -10697.207031, 108.046570
