Time,Etot,Epot,Ekin,Elj12,Elj6,Temp
0.000000, -32632.597656, -33627.835938, 995.237549, 26049.818359, -61041.125000, 19.960640
0.010000, -32628.074219, -33622.339844, 994.265076, 26064.394531, -61049.687500, 19.941137
0.020000, -32623.085938, -33606.164062, 983.077148, 26103.277344, -61072.183594, 19.716751
0.030000, -32618.097656, -33580.082031, 961.984924, 26165.638672, -61108.335938, 19.293720
0.040000, -32613.212891, -33544.761719, 931.548401, 26250.285156, -61157.394531, 18.683283
0.050000, -32608.222656, -33500.812500, 892.590454, 26355.333984, -61218.210938, 17.901934
0.060000, -32603.255859, -33449.445312, 846.190369, 26478.408203, -61289.562500, 16.971327
0.070000, -32598.175781, -33391.867188, 793.691406, 26616.621094, -61369.933594, 15.918400
0.080000, -32593.267578, -33329.945312, 736.677856, 26766.621094, -61457.542969, 14.774927
0.090000, -32588.367188, -33265.320312, 676.953430, 26924.708984, -61550.527344, 13.577085
0.100000, -32583.281250, -33199.777344, 616.495544, 27086.894531, -61646.710938, 12.364532
0.110000, -32578.275391, -33135.660156, 557.384033, 27249.074219, -61744.265625, 11.178981
0.120000, -32573.181641, -33074.898438, 501.717712, 27407.308594, -61841.156250, 10.062530
0.130000, -32568.251953, -33019.761719, 451.509674, 27557.685547, -61935.726562, 9.055550
0.140000, -32563.351562, -32971.933594, 408.581055, 27696.802734, -62026.316406, 8.194566
0.150000, -32558.437500, -32932.890625, 374.453033, 27822.054688, -62111.765625, 7.510089
0.160000, -32553.357422, -32903.605469, 350.247864, 27931.275391, -62190.984375, 7.024626
0.170000, -32548.324219, -32884.945312, 336.622070, 28023.455078, -62263.824219, 6.751345
0.180000, -32543.257812, -32876.984375, 333.727173, 28098.152344, -62329.781250, 6.693285
0.190000, -32538.371094, -32879.574219, 341.202820, 28156.253906, -62389.523438, 6.843217
0.200000, -32533.410156, -32891.621094, 358.211334, 28199.154297, -62443.550781, 7.184343
0.210000, -32528.457031, -32911.968750, 383.511871, 28229.269531, -62493.058594, 7.691774
0.220000, -32523.455078, -32939.011719, 415.556671, 28249.326172, -62539.195312, 8.334470
0.230000, -32518.382812, -32970.996094, 452.613464, 28262.628906, -62583.472656, 9.077687
0.240000, -32513.332031, -33006.210938, 492.879425, 28272.453125, -62627.496094, 9.885267
0.250000, -32508.429688, -33043.023438, 534.593933, 28282.023438, -62672.750000, 10.721900
0.260000, -32503.423828, -33079.558594, 576.135559, 28294.507812, -62720.628906, 11.555066
0.270000, -32498.339844, -33114.429688, 616.090088, 28312.617188, -62772.453125, 12.356399
0.280000, -32493.353516, -33146.656250, 653.302368, 28338.533203, -62829.406250, 13.102736
0.290000, -32488.400391, -33175.308594, 686.908691, 28373.960938, -62892.117188, 13.776749
0.300000, -32483.634766, -33199.976562, 716.341858, 28419.970703, -62961.507812, 14.367064
0.310000, -32478.431641, -33219.769531, 741.337891, 28477.195312, -63037.203125, 14.868389
0.320000, -32473.492188, -33235.406250, 761.913208, 28545.503906, -63119.765625, 15.281051
0.330000, -32468.533203, -33246.867188, 778.334290, 28624.396484, -63208.734375, 15.610394
0.340000, -32463.626953, -33254.722656, 791.095703, 28712.892578, -63303.699219, 15.866339
0.350000, -32458.535156, -33259.390625, 800.856140, 28809.740234, -63403.683594, 16.062096
0.360000, -32453.740234, -33262.148438, 808.408142, 28913.197266, -63508.351562, 16.213560
0.370000, -32448.832031, -33263.445312, 814.613037, 29021.671875, -63616.507812, 16.338007
0.380000, -32443.744141, -33264.093750, 820.348877, 29133.281250, -63727.253906, 16.453047
0.390000, -32438.789062, -33265.246094, 826.456116, 29246.222656, -63839.746094, 16.575533
0.400000, -32433.720703, -33267.410156, 833.689941, 29358.964844, -63953.105469, 16.720615
