Time,Etot,Epot,Ekin,Elj12,Elj6,Temp
0.000000, -32632.597656, -33627.835938, 995.237549, 26049.818359, -61041.125000, 19.960640
0.010000, -32633.046875, -33622.343750, 989.296021, 26064.335938, -61049.632812, 19.841476
0.020000, -32633.111328, -33606.332031, 973.221436, 26102.968750, -61072.046875, 19.519081
0.030000, -32632.935547, -33580.339844, 947.404419, 26164.849609, -61107.808594, 19.001291
0.040000, -32633.093750, -33545.582031, 912.487366, 26248.427734, -61156.355469, 18.300991
0.050000, -32633.087891, -33502.445312, 869.356873, 26351.837891, -61216.347656, 17.435959
0.060000, -32633.246094, -33452.414062, 819.167603, 26472.460938, -61286.574219, 16.429356
0.070000, -32633.164062, -33396.464844, 763.300659, 26607.322266, -61365.253906, 15.308877
0.080000, -32633.128906, -33336.527344, 703.397461, 26753.128906, -61450.648438, 14.107450
0.090000, -32633.111328, -33274.386719, 641.275635, 26905.986328, -61540.906250, 12.861525
0.100000, -32633.138672, -33212.050781, 578.911255, 27061.943359, -61634.035156, 11.610735
0.110000, -32633.052734, -33151.406250, 518.352844, 27217.005859, -61727.980469, 10.396166
0.120000, -32633.152344, -33094.792969, 461.639801, 27367.162109, -61820.980469, 9.258720
0.130000, -32633.119141, -33043.816406, 410.696747, 27508.818359, -61910.968750, 8.236999
0.140000, -32633.208984, -33000.433594, 367.223663, 27638.808594, -61996.867188, 7.365095
0.150000, -32633.300781, -32965.894531, 332.594177, 27754.490234, -62077.273438, 6.670561
0.160000, -32633.125000, -32940.898438, 307.774261, 27854.169922, -62151.269531, 6.172769
0.170000, -32633.101562, -32926.359375, 293.258545, 27936.875000, -62218.792969, 5.881639
0.180000, -32633.097656, -32922.152344, 289.054230, 28002.703125, -62279.652344, 5.797317
0.190000, -32633.179688, -32927.875000, 294.695953, 28052.453125, -62334.250000, 5.910468
0.200000, -32633.179688, -32942.472656, 309.292725, 28087.753906, -62383.277344, 6.203224
0.210000, -32633.068359, -32964.679688, 331.611603, 28111.033203, -62427.843750, 6.650855
0.220000, -32633.208984, -32993.386719, 360.178101, 28124.740234, -62469.328125, 7.223789
0.230000, -32633.066406, -33026.441406, 393.374329, 28132.156250, -62508.917969, 7.889577
0.240000, -32633.007812, -33062.554688, 429.546356, 28136.273438, -62548.203125, 8.615049
0.250000, -32632.917969, -33100.011719, 467.094391, 28140.123047, -62588.519531, 9.368119
0.260000, -32633.189453, -33137.742188, 504.552643, 28146.542969, -62631.433594, 10.119388
0.270000, -32633.128906, -33173.769531, 540.640503, 28158.005859, -62677.796875, 10.843171
0.280000, -32633.054688, -33207.367188, 574.312195, 28176.439453, -62728.707031, 11.518497
0.290000, -32633.111328, -33237.886719, 604.774597, 28203.623047, -62785.261719, 12.129455
0.300000, -32633.046875, -33264.542969, 631.496338, 28240.441406, -62847.539062, 12.665389
0.310000, -32633.019531, -33287.222656, 654.202148, 28287.537109, -62916.117188, 13.120782
0.320000, -32633.171875, -33306.039062, 672.866821, 28344.898438, -62990.941406, 13.495123
0.330000, -32633.121094, -33320.800781, 687.679993, 28412.224609, -63071.734375, 13.792218
0.340000, -32633.162109, -33332.187500, 699.024597, 28488.681641, -63158.214844, 14.019748
0.350000, -32633.212891, -33340.652344, 707.438782, 28573.175781, -63249.804688, 14.188503
0.360000, -32633.240234, -33346.812500, 713.573181, 28664.330078, -63345.730469, 14.311535
0.370000, -32633.193359, -33351.343750, 718.151184, 28760.748047, -63445.191406, 14.403354
0.380000, -32633.283203, -33355.199219, 721.915771, 28860.761719, -63547.625000, 14.478857
0.390000, -32633.208984, -33358.808594, 725.600342, 28963.000000, -63652.019531, 14.552754
0.400000, -32633.232422, -33363.101562, 729.868713, 29065.863281, -63757.617188, 14.638362
0.410000, -32633.306641, -33368.597656, 735.290833, 29168.140625, -63863.832031, 14.747108
0.420000, -32633.210938, -33375.523438, 742.313232, 29268.843750, -63970.007812, 14.887950
0.430000, -32633.232422, -33384.468750, 751.237000, 29367.220703, -64075.722656, 15.066926
0.440000, -32633.121094, -33395.324219, 762.204041, 29462.876953, -64180.621094, 15.286884
0.450000, -32633.121094, -33408.324219, 775.202515, 29555.603516, -64284.691406, 15.547583
0.460000, -32633.146484, -33423.218750, 790.072205, 29645.611328, -64387.992188, 15.845813
0.470000, -32633.160156, -33439.683594, 806.523438, 29733.316406, -64490.550781, 16.175760
0.480000, -32633.130859, -33457.292969, 824.162781, 29819.392578, -64592.507812, 16.529539
0.490000, -32633.253906, -33475.769531, 842.515991, 29904.666016, -64694.457031, 16.897633
0.500000, -32633.181641, -33494.250000, 861.067627, 29990.115234, -64796.667969, 17.269709
0.510000, -32633.302734, -33512.593750, 879.290344, 30076.589844, -64899.781250, 17.635185
0.520000, -32633.103516, -33529.773438, 896.669067, 30165.152344, -65003.769531, 17.983736
0.530000, -32633.306641, -33546.046875, 912.740173, 30256.640625, -65109.601562, 18.306061
0.540000, -32633.136719, -33560.246094, 927.109985, 30351.691406, -65217.203125, 18.594263
0.550000, -32633.093750, -33572.570312, 939.475586, 30451.080078, -65327.058594, 18.842272
