"id";"waga";"wzrost";"plec";"dzieci";"wiek";"dochod";"oszczednosci";"jednoos";"miejsce";"wydatki_zyw"
52;78.93;176.2;2;5;59;979.01;673.17;0;3;194.96
101;78.66;165.73;1;3;52;1043.36;543.89;0;2;259.2
146;74.29;171.33;1;2;57;1227.69;773.2;0;1;244.41
281;79.11;169.24;1;1;59;2356.74;1914.74;1;2;239.77
167;79.23;177.78;2;1;48;1264.95;536.29;1;3;291.05
207;83.49;179.58;2;1;55;1445.19;869.87;1;2;273.74
218;75.17;164.75;1;0;75;1480.24;1089.26;1;1;216
102;80.08;171.25;1;1;55;972.38;279.87;0;1;286.58
203;80.5;179.5;2;1;61;1418.67;792.67;1;2;279.92
179;79.46;170.64;1;2;52;1273.49;1007.19;1;3;174.4
263;83.68;181.1;2;2;46;2082.24;1733.66;1;1;212.98
99;83.12;181.91;2;4;51;1085.84;814.58;0;3;182.92
8;80.23;163.14;1;2;51;789.01;-97.74;0;1;289.84
125;78.01;172.86;1;3;61;1110.82;400.93;0;1;288.84
273;82.64;162.59;1;3;55;2180.59;1921.61;1;2;174.51
200;85.95;177.48;2;4;51;1346.34;1251.88;1;2;88.64
7;82.98;180.11;2;2;53;851.37;124.69;0;2;293.29
285;83.62;178.11;2;2;52;2535.06;1692.91;1;1;292.82
84;78.36;174.98;1;1;67;965.44;567.71;0;3;223.68
81;77.55;168.5;1;2;59;980.77;297.84;0;2;286.82
178;79.59;167.45;1;2;57;1375.31;898.47;1;1;250.32
70;86.07;189.87;2;0;56;1020.2;522.57;0;2;258.21
75;80.41;177.35;2;1;51;1064.46;324.72;0;3;291.41
278;78.09;168.83;1;1;57;2422.07;2110.18;1;1;191.29
40;85.36;173.44;2;1;46;860.05;10.34;0;3;291.85
196;82.17;182.09;2;3;58;1319.76;644.78;1;2;290.38
110;83.99;164.71;1;1;53;1120;539.62;0;3;276.81
191;79.53;167.59;1;2;60;1360.88;856.09;1;2;256.58
115;81.31;164.49;1;1;43;1192.53;1018.15;0;1;130.04
224;80.51;182.64;2;3;48;1620.63;1066.79;1;2;271.55
243;75.44;168.97;1;0;57;1789.37;1459.79;1;3;197.82
229;79.99;166.46;1;1;52;1573.71;1178.02;1;3;227.63
118;75.93;168.05;1;1;52;1081.96;649.04;0;1;236.59
98;84.7;177.75;2;1;55;1086.29;411.28;0;2;288.37
188;75.22;169.56;1;3;61;1339.5;1120.02;1;2;150.87
151;83.95;173.29;2;4;56;1159.49;383.27;0;2;296.11
177;76.21;166.88;1;1;58;1247.05;942.85;1;2;187.5
176;80.94;171.9;2;2;58;1195.13;702.69;0;1;255.7
190;80.01;183.03;2;1;56;1417.68;1136.27;1;2;180.8
258;80.63;177.11;2;0;49;1773.33;1609.71;1;1;121.12
112;73.18;171.45;1;0;61;1062.45;665.43;0;1;220.13
260;81.68;173.13;1;2;43;1981.54;1652.74;1;2;206.1
60;84.44;174.46;2;4;64;873.89;211.4;0;2;289.34
2;79.25;171.25;1;2;58;804.21;369.51;0;2;236.6
296;78.32;172.04;1;2;50;3289.24;2640.79;1;2;286.58
63;76.61;170.08;1;3;43;965.96;378.79;0;2;280.36
195;82.37;161.99;1;0;53;1336.33;1214.82;1;1;98.05
248;76.5;169.38;1;3;63;1804.69;1399.44;1;1;229.2
31;86.64;174.42;2;1;48;869.76;327.96;0;2;271.32
292;77.57;162.35;1;2;55;2971.62;2729.54;1;3;162.71
165;77.62;171.59;2;2;49;1181;814.92;0;2;217.25
290;79.12;172.57;2;4;55;2855.78;2122.16;1;1;294.27
227;78.02;189.31;2;0;59;1617.21;1147.18;1;2;246.49
162;82.31;174.7;2;0;54;1206.89;785.19;0;2;235.16
286;79.81;169.61;1;0;62;2701.68;2375.55;1;1;197
122;82.21;180.45;2;2;64;978.29;211.6;0;3;291.63
97;79.53;172.77;1;4;54;978.86;687.1;0;3;191.07
133;77.06;161.65;1;3;63;969.77;133.97;0;3;288.78
268;84.66;179.59;2;3;57;2118.51;1524.65;1;1;279.92
35;83.21;168.2;1;0;48;853.33;182.81;0;3;286.03
194;81.29;175.45;1;1;46;1337.65;1105.12;1;3;159.9
124;79.32;174.37;2;2;69;998.77;352.63;0;2;280.79
213;78.87;165.48;2;2;56;1449.45;776.79;1;3;287.12
159;80.73;179.73;2;5;47;1233.8;891.87;0;3;215.61
259;86.57;175.83;2;1;64;1712.88;1659.56;1;2;56.52
155;83.95;169.5;2;0;59;1229.95;709.88;0;2;262.29
114;79.89;170;1;1;56;987.74;649.35;0;2;204.34
38;78.19;166.01;1;0;42;895.58;121.05;0;1;293.64
107;77.54;163.51;1;0;54;999.35;625.78;0;3;215.15
308;77.76;171.11;1;2;56;5955.49;3521.98;1;3;-939.57
29;81.71;172.9;1;3;58;870.96;104.67;0;2;296.54
242;81.55;179.84;2;2;62;1726.16;1215.55;1;2;260.41
277;85.3;175.28;2;2;43;2322.27;1625.12;1;2;295.28
105;81.12;170.88;1;0;43;1149.58;727.39;0;2;236.15
202;81.99;181.35;2;0;59;1400.44;1032.9;1;2;215.9
187;74.38;177.98;1;2;59;1273.03;1120.97;1;3;113.44
16;79.51;169.77;1;3;54;742.79;255.45;0;3;258
270;80.08;179.24;2;4;65;2072.16;1925.01;1;1;114.91
129;78.59;172.51;1;3;59;1140.48;470.26;0;1;289.09
206;76.12;159.02;1;0;77;1285.93;1099.46;0;1;125
141;77.93;159.97;1;2;54;1093.35;303.38;0;3;294.04
283;80.76;162.26;1;1;63;2604.74;1916.56;1;1;287.44
94;76.76;166.75;1;2;57;978.04;642.99;0;2;204.32
262;77.35;167.03;1;2;48;2058.81;1796.23;1;1;173.48
55;84.95;185.16;2;5;64;773.07;343.21;0;1;241.4
76;78.51;186.53;2;4;54;938.18;569.42;0;3;220.59
33;84.17;183.32;2;2;65;731.45;233.47;0;1;258.42
298;76.35;170.42;1;0;57;3467.62;2497.21;1;2;272.89
69;76.43;167.82;1;4;69;797.22;-23.37;0;2;290.68
72;82.19;172.02;1;4;50;954.01;627.64;0;1;207.9
1;80.96;171.07;1;4;55;708.72;332.61;0;3;222.89
37;76.95;167.37;1;0;64;883;74.7;0;3;287.38
5;76.92;171.01;1;3;64;703.44;-17.29;0;1;289.55
89;75.31;168.73;1;1;49;954.39;656.28;0;3;187.92
100;80.12;164.75;1;2;58;1036.49;749.39;0;1;184.02
269;86.65;175.92;2;3;53;1997.85;1373.83;1;2;286.98
134;83.03;173.41;2;5;58;1036.19;461.93;0;3;278.21
183;74.46;163.88;1;1;49;1312.8;1061.76;1;1;166.23
295;81.57;169.84;2;1;60;3110.79;2478.51;1;2;280.93
182;85.78;170.02;2;4;61;1278.36;884.06;1;1;233.35
